German_Variable,Variable name,Translation,Beschreibung,description
KR_KHP_DG10_45U50,KR_KHP_DG15,"Hospital patients by main diagnosis
- O00-O99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 45 bis unter 50 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - O00-
O99 pregnancy, childbirth and the
puerperium"
KR_KHP_DG10_50U55,KR_KHP_DG16,"Hospital patients by main diagnosis
- P00-P96",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 50 bis unter 55 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - P00-
P96 Certain conditions that have their origin in
the perinatal period"
KR_KHP_DG10_55U60,KR_KHP_DG17,Hospital patients,Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 55 bis unter 60 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,Number of fully
KR_KHP_DG10_60U65,,"by main diagnosis
- Q00-Q99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 60 bis unter 65 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"inpatients treated in hospitals with main diagnosis class (ICD 10) - Q00-
Q99 Congenital malformations, deformities and chromosomal
abnormalities"
KR_KHP_DG10_65U70,KR_KHP_DG18,"Hospital patients by main diagnosis
- R00-R99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 65 bis unter 70 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - R00-
R99 symptoms and abnormal clinical and laboratory ﬁndings not classiﬁed
elsewhere"
KR_KHP_DG10_70U75,KR_KHP_DG19,"Hospital patients by main diagnosis
- S00-T98",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 70 bis unter 75 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - S00-
T98 Injuries, poisoning and certain other consequences of
external causes"
KR_KHP_DG10_75U80,KR_KHP_DG20,"Hospital patients by main diagnosis
- U00-U99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 75 bis unter 80 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - U00-
U99 key numbers for special
purposes"
KR_KHP_DG10_80U85,KR_KHP_DG21,"Hospital patients by main diagnosis
- Z00-Z99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 80 bis unter 85 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - Z00-
Z99 Factors that inﬂuence health and lead to use of the health care
system"
KR_KHP_DG10_85U90,KR_KHP_DG22,"Hospital patients by main diagnosis
- diagnosis
unknown",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 85 bis unter 90 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,Number of fully inpatients treated in hospitals with a diagnosis unknown
KR_KHP_DG10_90U95,KR_KHP_DG10_00U01,Hospital patients with respiratory diseases - under 1 year,Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 90 bis unter 95 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,Number of fully statinary treated patients in hospitals with age less than 1 year and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_KHP_DG10_95,KR_KHP_DG10_01U05,Hospital patients with respiratory diseases - 1 to less than 5 years,Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 95 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems und älter,Number of fully statinary treated patients in hospitals aged 1 to less than 5 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PD,KR_KHP_DG10_05U10,Hospital patients with respiratory diseases - 5 to under 10 years,Anzahl Pflegedienste,Number of fully statinary treated patients in hospitals aged 5 to less than 10 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PH,KR_KHP_DG10_10U15,Hospital patients with respiratory diseases - 10 to under 15 years,Anzahl Pflegeheime,Number of fully statinary treated patients in hospitals aged 10 to less than 15 years and main diagnosis class (ICD 10) - J00-J99
KR_PD_PERS,,,Personal in ambulanten Pflegediensten je 10.000 Einwohner,"Diseases of the
respiratory system"
KR_PH_PERS,KR_KHP_DG10_15U20,Hospital patients with respiratory diseases - 15 to under 20 years,Personal in Pflegeheimen je 10.000 Einwohner,Number of fully statinary treated patients in hospitals aged 15 to under 20 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PB,KR_KHP_DG10_20U25,Hospital patients with respiratory diseases - 20 to under 25 years,Pflegebedürftige je 10.000 Einwohner,"Number of fully statinary treated patients in hospitals aged 20 to less than 25 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_PH_PL,KR_KHP_DG10_25U30,Hospital patients with respiratory diseases - 25 to under 30 years,Verfügbare Plätze in Pflegeheimen je 10.000 Einwohner,Number of fully statinary treated patients in hospitals aged 25 to under 30 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PS,KR_KHP_DG10_30U35,Hospital patients with respiratory diseases - 30 to under 35 years,Anteil der Pflegebedürftigen in stationärer Dauerpflege an den Pflegebedürftigen insgesamt (in %),"Number of fully statinary treated patients in hospitals aged 30 to less than 35 years and main diagnosis class (ICD 10) - J00-J99
diseases of the
respiratory system"
KR_PA,KR_KHP_DG10_35U40,Hospital patients with respiratory diseases - 35 to under 40 years,Anteil der Pflegebedürftigen in ambulanter Pflege an den Pflegebedürftigen insgesamt (in %),Number of fully statinary treated patients in hospitals aged 35 to under 40 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PG_EMP,KR_KHP_DG10_40U45,Hospital patients with respiratory diseases - 40 to under 45 years,Anteil der Empfänger von Pflegegeld an den Pflegebedürftigen insgesamt (in %),Number of fully statinary treated patients in hospitals aged 40 to under 45 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_EP,KR_KHP_DG10_45U50,Hospital patients with respiratory diseases - 45 to under 50 years,Anzahl Berufseinpendler über Kreisgrenzen (Arbeitsort),"Number of fully statinary treated patients in hospitals aged 45 to less than 50 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_AP,KR_KHP_DG10_50U55,Hospital patients with respiratory diseases - 50 to under 55 years,Anzahl Berufsauspendler über Kreisgrenzen (Wohnort),Number of fully statinary treated patients in hospitals aged 50 to under 55 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_SP,KR_KHP_DG10_55U60,Hospital patients with respiratory diseases - 55 to under 60 years,Berufspendlersaldo,Number of fully statinary treated patients in hospitals aged 55 to under 60 years and main diagnosis class (ICD 10) - J00-J99 Diseases
KR_EP_SVB,,,Anteil der Einpendler an den Sozialversicherungspflichtig Beschäftigten am Arbeitsort (in %),"of the respiratory
system"
KR_AP_SVB,KR_KHP_DG10_60U65,Hospital patients with respiratory diseases - 60 to under 65 years,Anteil der Auspendler an den Sozialversicherungspflichtig Beschäftigten am Wohnort (in %),Number of fully statinary treated patients in hospitals aged 60 to under 65 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_SP_SVB,KR_KHP_DG10_65U70,Hospital patients with respiratory diseases - 65 to under 70 years,Pendlersaldo je 100 Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Number of fully statinary treated patients in hospitals aged 65 to under 70 years and main diagnosis class (ICD 10) - J00-J99 Diseases of the respiratory system
KR_PEN_50,KR_KHP_DG10_70U75,Hospital patients with respiratory diseases - 70 to under 75 years,Pendler mit einem Arbeitsweg von 50 km und mehr je 100 Sozialversicherungspflichtig Beschäftigte am Wohnort,"Number of fully statinary treated patients in hospitals aged 70 to less than 75 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_PEN_150,KR_KHP_DG10_75U80,Hospital patients with respiratory diseases - 75 to under 80 years,Pendler mit einem Arbeitsweg von 150 km und mehr je 100 Sozialversicherungspflichtig Beschäftigte am Wohnort,"Number of fully statinary treated patients in hospitals aged 75 to less than 80 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_PEN_300,KR_KHP_DG10_80U85,Hospital patients with respiratory diseases - 80 to under 85 years,Pendler mit einem Arbeitsweg von 300 km und mehr je 100 Sozialversicherungspflichtig Beschäftigte am Wohnort,"Number of fully statinary treated patients in hospitals aged 80 to less than 85 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_PEN_JJJJMM,KR_KHP_DG10_85U90,Hospital patients with respiratory diseases - 85 to under 90 years,EXPERIMENTELL: Veränderung der Pendlermobilität im Vergleich zum Vorjahresmonat,"Number of fully statinary treated patients in hospitals aged 85 to less than 90 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_PKW_DICHTE,KR_KHP_DG10_90U95,Hospital patients with respiratory diseases - 90 to under 95 years,Anzahl Pkw je 1.000 Einwohner,"Number of fully statinary treated patients in hospitals aged 90 to less than 95 years and main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_MOB_WEG_2017,KR_KHP_DG10_95,Hospital patients with respiratory diseases - 95 years and older,EXPERIMENTELL: Anzahl Wege pro Person und Tag 2017,"Number of fully statinary treated patients in hospitals with age 95 and main diagnosis class (ICD 10) - J00-J99
diseases of the respiratory system
and older"
KR_MOB_KM _2017,KR_PD,Care services,EXPERIMENTELL: Kilometer pro Person und Tag 2017,Number of care services
KR_MOB_AH_2017,KR_PH,Nursing homes,EXPERIMENTELL: Außer-Haus-Quote (Personen außer Haus an einem durchschnittlichen Tag) 2017,Number of nursing homes
KR_MOB_FUSS_2017,KR_PD_PERS,Nursing staff,EXPERIMENTELL: Anteil Wege zu Fuß 2017 (Modal Split),Personnel in
KR_MOB_RAD_2017,,,EXPERIMENTELL: Anteil Wege mit dem Fahrrad 2017 (Modal Split),"outpatient care services per 10,000
inhabitants"
KR_MOB_MIVMF_2017,KR_PH_PERS,Nursing home staff,"EXPERIMENTELL: Anteil Mitfahrer-Wege des motorisierten Individualverkehrs (Auto, Motorrad, Lkw) 2017 (Modal Split)","Nursing home staff per 10,000 inhabitants"
KR_MOB_MIVF_2017,KR_PB,People in need of care,"EXPERIMENTELL: Anteil Fahrer-Wege des motorisierten Individualverkehrs (Auto, Motorrad, Lkw) 2017 (Modal Split)","People in need of care per 10,000 inhabitants"
KR_MOB_OEV_2017,KR_PH_PL,Nursing home places,EXPERIMENTELL: Anteil Wege des öffentlichen Verkehrs 2017 (Modal Split),"Available places in nursing homes per 10,000 inhabitants"
KR_MOB_OEVW_2017,KR_PS,Inpatient care,EXPERIMENTELL: Wege des öffentlichen Verkehrs am Tag pro 1.000 Einwohner 2017,Proportion of people in need of long-term inpatient care among those in need of long- term care (in%)
KR_MOB_IDX_2017,KR_PA,Ambulant care,EXPERIMENTELL: Aktivitätsindex 2017 (Baseline),Proportion of people in need of care in outpatient care among those in need of care (in%)
KR_MOB_WEG_F2020,KR_PG_EMP,Recipient of care allowance,EXPERIMENTELL: Schätzung Anzahl Wege pro Person und Tag Mai/Juni 2020,Share of recipients of long-term care allowance among those in need of long-term care (in%)
KR_MOB_WEG_H2020,KR_EP,Number of commuters,EXPERIMENTELL: Schätzung Anzahl Wege pro Person und Tag Oktober 2020,Number of commuters across district boundaries (place of work)
KR_MOB_KM _F2020,KR_AP,Number of out- commuters,EXPERIMENTELL: Schätzung Kilometer pro Person und Tag Mai/Juni 2020,Number of commuters across district boundaries (place of residence)
KR_MOB_KM _H2020,KR_SP,Absolute commuter balance,EXPERIMENTELL: Schätzung Kilometer pro Person und Tag Oktober 2020,Commuter balance
KR_MOB_AH_F2020,KR_EP_SVB,Proportion of in- commuters,EXPERIMENTELL: Schätzung Außer-Haus-Anteil Mai/Juni 2020,Share of commuters among employees subject to social security contributions at work (in%)
KR_MOB_AH_H2020,KR_AP_SVB,Share of out- commuters,EXPERIMENTELL: Schätzung Außer-Haus-Anteil Oktober 2020,Share of out- commuters among employees subject to social security contributions at place of residence (in%)
KR_MOB_IDX_F2020,KR_SP_SVB,Relative commuter balance,EXPERIMENTELL: Schätzung Aktivitätsindex Juni 2020,Commuter balance per 100 employees subject to social security contributions at the place of work
KR_MOB_IDX_H2020,KR_PEN_50,Commuters with a commute of 50 km and more,EXPERIMENTELL: Schätzung Aktivitätsindex Oktober 2020,Commuters with a commute of 50 km and more for every 100 employees who are subject to social security contributions at their place of residence
KR_MOB_OEV_F2020,KR_PEN_150,Commuters commuting 150 km and more to work,EXPERIMENTELL: Schätzung Anteil ÖV-Wege Juni 2020,Commuters with a commute of 150 km and more for every 100 employees who are subject to social security contributions at their place of residence
KR_MOB_OEV_H2020,KR_PEN_300,Commuters with a commute of 300 km and more,EXPERIMENTELL: Schätzung Anteil ÖV-Wege Oktober 2020,Commuters with a commute of 300 km and more for every 100 employees who are subject to social security contributions at
KR_MOB_OEVW_F2020,,,EXPERIMENTELL: Schätzung ÖV-Wege am Tag pro 1.000 Einwohner Mai/Juni 2020,"their place of
residence"
KR_MOB_OEVW_H2020,KR_PEN_YYYYMM,Commuter change,EXPERIMENTELL: Schätzung ÖV-Wege am Tag pro 1.000 Einwohner Oktober 2020,"EXPERIMENTAL:
Change in commuter mobility compared to the same month of the previous year"
KR_SCHU_KOM,KR_PKW_DICHTE,Car density,Kommunale Schulden in € je Einwohner,"Number of cars per 1,000 inhabitants"
KR_SK,KR_MOB_WEG_2017,Paths per person and day (2017),Gemeindliche Steuerkraft in € je Einwohner,"EXPERIMENTAL:
Number of trips per person and day in 2017"
KR_US_EW,KR_MOB_KM _2017,Kilometers per person and day (2017),Umsatzsteuer in € je Einwohner,"EXPERIMENTAL:
kilometers per person per day 2017"
KR_EIN_MD,KR_MOB_AH_2017,Out-of-home quota (2017),Monatsentgelte der Vollzeitbeschäftigten,"EXPERIMENTAL:
Out-of-home rate (people away from home on an average day) 2017"
KR_SCHU_QU,KR_MOB_FUSS_2017,Share of journeys on foot (2017),Private Schuldner je 100 Einwohner 18 Jahre und älter,"EXPERIMENTAL:
Share of trips on foot 2017 (modal split)"
KR_HH_EINK_KL1,KR_MOB_RAD_2017,Share of trips by bike (2017),Anzahl Haushalte mit monatl. Netto-Einkommen von 0 bis 1000 €,"EXPERIMENTAL:
Share of trips by bike in 2017 (modal split)"
KR_HH_EINK_KL2,KR_MOB_MIVMF_2017,Proportion of motorized vehicle passenger journeys (2017),Anzahl Haushalte mit monatl. Netto-Einkommen über 1000 bis 1500 €,"EXPERIMENTAL:
Share of passenger journeys in motorized private transport (car, motorcycle, truck) 2017 (modal split)"
KR_HH_EINK_KL3,KR_MOB_MIVF_2017,Share of motorized vehicle driver journeys (2017),Anzahl Haushalte mit monatl. Netto-Einkommen über 1500 bis 2500 €,"EXPERIMENTAL:
Share of driver journeys in motorized individual transport (car, motorcycle, truck) 2017 (modal split)"
KR_HH_EINK_KL4,KR_MOB_OEV_2017,Share of public transport journeys (2017),Anzahl Haushalte mit monatl. Netto-Einkommen über 2500 bis 3500 €,"EXPERIMENTAL:
Share of public transport routes in 2017 (modal split)"
KR_HH_EINK_KL5,KR_MOB_OEVW_2017,"Public transport journeys per day per 1,000
inhabitants (2017)",Anzahl Haushalte mit monatl. Netto-Einkommen über 3500 bis 5000 €,"EXPERIMENTAL:
Daily public transport routes per 1,000 inhabitants
in 2017"
KR_HH_EINK_KL6,KR_MOB_IDX_2017,Activity index (2017),Anzahl Haushalte mit monatl. Netto-Einkommen über 5000 €,"EXPERIMENTAL:
Activity Index 2017 (Baseline)"
KR_KK_HH,KR_MOB_WEG_F2020,Paths per person and day (May / June 2020),Durchschnittliche Kaufkraft je Haushalt in € pro Jahr,"EXPERIMENTAL:
Estimation of the number of trips per person and day May / June 2020"
KR_KK_EW,KR_MOB_WEG_H2020,Paths per person and day (October 2020),Durchschnittliche Kaufkraft je Einwohner in € pro Jahr,"EXPERIMENTAL:
Estimation of the number of trips per person and day October 2020"
KR_BSDL_DICHTE,KR_MOB_KM _F2020,Kilometers per person and day (May / June 2020),Einwohner pro qkm Siedlungs- und Verkehrsfläche,"EXPERIMENTAL:
Estimation of kilometers per person and day May / June 2020"
KR_EW_DICHTE,KR_MOB_KM _H2020,Kilometers per person and day (October 2020),Einwohner pro qkm Gesamtfläche,"EXPERIMENTAL:
Estimate kilometers per person per day October 2020"
KR_EW_STADT,KR_MOB_AH_F2020,Out-of-home share (May / June 2020),Bevölkerung in Gemeinden mit mindestens 5.000 Einwohnern oder mindestens grundzentraler Funktion,"EXPERIMENTAL:
Estimate out-of- home share May / June 2020"
KR_EW_BBSR10,KR_MOB_AH_H2020,Out-of-home share (October 2020),Bevölkerung in Gemeinden mit mindestens 100.000 Einwohnern,"EXPERIMENTAL:
Estimate out-of- home share October 2020"
KR_EW_BBSR20,KR_MOB_IDX_F2020,Activity index,Bevölkerung in Gemeinden mit 20.000 bis unter 100.000 Einwohnern,EXPERIMENTAL:
KR_EW_BBSR30,,20-Jun,Bevölkerung in Gemeinden mit 10.000 bis unter 20.000 Einwohnern,Activity index estimate June 2020
KR_EW_BBSR40,KR_MOB_IDX_H2020,Activity index (October 2020),Bevölkerung in Gemeinden mit 5.000 bis unter 10.000 Einwohnern,"EXPERIMENTAL:
Activity index estimate October 2020"
KR_EW_BBSR50,KR_MOB_OEV_F2020,Share of public transport journeys in June 2020,Bevölkerung in Gemeinden mit weniger als 5.000 Einwohnern und ohne grundzentrale Funktion,"EXPERIMENTAL:
Estimate of the share of public transport journeys in June 2020"
KR_FLAECHE,KR_MOB_OEV_H2020,Share of public transport journeys (October 2020),Gesamtfläche des Kreises in Quadratmeter,"EXPERIMENTAL:
Estimate of the share of public transport journeys in October 2020"
KR_NUTZ1,KR_MOB_OEVW_F2020,"Public transport journeys per day per 1,000 inhabitants (May / June 2020)",Anteil Siedlungsfläche mit Nutzungsform - Wohnbaufläche (in % der Geamtfläche),"EXPERIMENTAL:
Estimation of public transport journeys per day per 1,000 inhabitants May / June 2020"
KR_NUTZ2,KR_MOB_OEVW_H2020,"Public transport journeys per day per 1,000 inhabitants (October 2020)",Anteil Siedlungsfläche mit Nutzungsform - Industrie- und Gewerbefläche (in % der Geamtfläche),"EXPERIMENTAL:
Estimation of public transport journeys per day per 1,000 inhabitants October 2020"
KR_NUTZ3,KR_SCHU_KOM,Municipal debt,Anteil Siedlungsfläche mit Nutzungsform - Halde (in % der Geamtfläche),"Municipal debt in
€ per inhabitant"
KR_NUTZ4,KR_SK,Control force,Anteil Siedlungsfläche mit Nutzungsform - Bergbaubetrieb (in % der Geamtfläche),Municipal tax in € per inhabitant
KR_NUTZ5,KR_US_EW,value added tax,"Anteil Siedlungsfläche mit Nutzungsform - Tagebau, Grube, Steinbruch (in % der Geamtfläche)",Sales tax in € per inhabitant
KR_NUTZ6,KR_EIN_MD,Median income,Anteil Siedlungsfläche mit Nutzungsform - Gemischte Nutzung (in % der Geamtfläche),Monthly wages for full-time employees
KR_NUTZ7,KR_SCHU_QU,Debtor quota,Anteil Siedlungsfläche mit Nutzungsform - Besondere funktionale Prägung (in % der Geamtfläche),Private debtors per 100 inhabitants aged 18 and over
KR_NUTZ8,KR_HH_EINK_KL1,Households by income class - 0 to 1000 €,"Anteil Siedlungsfläche mit Nutzungsform - Sport, Freizeit und Erholung (in % der Geamtfläche)",Number of households with monthly Net income from 0 to 1000 €
KR_NUTZ9,KR_HH_EINK_KL2,Households by income class - € 1000 to € 1500,Anteil Siedlungsfläche mit Nutzungsform - Friedhof (in % der Geamtfläche),Number of households with monthly Net income between € 1000 and € 1500
KR_NUTZ10,KR_HH_EINK_KL3,Households by income class - € 1500 to € 2500,Anteil Siedlungsfläche mit Nutzungsform - Straßenverkehr (in % der Geamtfläche),Number of households with monthly Net income between 1500 and 2500 €
KR_NUTZ11,KR_HH_EINK_KL4,Households by income class - € 2500 to € 3500,Anteil Siedlungsfläche mit Nutzungsform - Platz (in % der Geamtfläche),Number of households with monthly Net income between € 2500 and € 3500
KR_NUTZ12,KR_HH_EINK_KL5,Households by income class - € 3500-5000,Anteil Siedlungsfläche mit Nutzungsform - Bahnverkehr (in % der Geamtfläche),Number of households with monthly Net income between € 3500 and € 5000
KR_NUTZ13,KR_HH_EINK_KL6,Households by income class - over € 5000,Anteil Siedlungsfläche mit Nutzungsform - Flugverkehr (in % der Geamtfläche),"Number of households with monthly Net income over 5000
€"
KR_NUTZ14,KR_KK_HH,Purchasing power per household,Anteil Siedlungsfläche mit Nutzungsform - Schiffsverkehr (in % der Geamtfläche),Average purchasing power per household in € per year
KR_NUTZ15,KR_KK_EW,Purchasing power per inhabitant,Anteil Siedlungsfläche mit Nutzungsform - Landwirtschaft (in % der Geamtfläche),Average purchasing power per inhabitant in € per year
KR_NUTZ16,KR_BSDL_DICHTE,Population density,Anteil Siedlungsfläche mit Nutzungsform - Wald (in % der Geamtfläche),Inhabitants per square kilometer of settlement and trafﬁc area
KR_NUTZ17,,,Anteil Siedlungsfläche mit Nutzungsform - Gehölz (in % der Geamtfläche),
KR_NUTZ18,KR_EW_DICHTE,Population density,Anteil Siedlungsfläche mit Nutzungsform - Heide (in % der Geamtfläche),Inhabitants per square kilometer of total area
KR_NUTZ19,KR_EW_STADT,Population in cities,Anteil Siedlungsfläche mit Nutzungsform - Moor (in % der Geamtfläche),"Population in municipalities with at least 5,000 inhabitants or at least a basic function"
KR_NUTZ20,KR_EW_BBSR10,Population in major cities,Anteil Siedlungsfläche mit Nutzungsform - Sumpf (in % der Geamtfläche),"Population in municipalities with at least 100,000 inhabitants"
KR_NUTZ21,KR_EW_BBSR20,Population in medium-sized towns,"Anteil Siedlungsfläche mit Nutzungsform - Unland, vegetationslose Fläche (in % der Geamtfläche)","Population in municipalities with 20,000 to less than 100,000 inhabitants"
KR_NUTZ23,KR_EW_BBSR30,Population in larger small towns,Anteil Siedlungsfläche mit Nutzungsform - Fließgewässer (in % der Geamtfläche),"Population in municipalities with 10,000 to less than 20,000 inhabitants"
KR_NUTZ24,KR_EW_BBSR40,Population in smaller small towns,Anteil Siedlungsfläche mit Nutzungsform - Hafenbecken (in % der Geamtfläche),"Population in municipalities with 5,000 to less than 10,000 inhabitants"
KR_NUTZ25,KR_EW_BBSR50,Population in rural communities,Anteil Siedlungsfläche mit Nutzungsform - Stehendes Gewässer (in % der Geamtfläche),"Population in municipalities with fewer than 5,000 inhabitants and without a basic central function"
KR_NUTZ26,KR_FLAECHE,Area of the circle,Anteil Siedlungsfläche mit Nutzungsform - Meer (in % der Geamtfläche),Total area of the circle in square meters
KR_AMR,KR_NUTZ1,Land use - residential area,Arbeitsmarktregion,Share of settlement area with type of use - residential area (in% of total area)
KR_EAD,KR_NUTZ2,Land use - industrial and commercial space,Einwohner und Beschäftigte je km²,Share of settlement area with type of use - industrial and commercial area (in% of total area)
KR_LAND,KR_NUTZ3,Land use - dump,Anteil Einwohner in Gemeinden mit einer Bevölkerungsdichte kleiner als 150 Einwohner pro km² (in %),Share of settlement area with type of use - dump (in% of the total area)
KR_MZ,KR_NUTZ4,Land use - mining operations,Anzahl der Mittelzentren und möglichen Mittelzentren,Share of settlement area with type of use - mining operation (in% of the total area)
KR_OZ,KR_NUTZ5,"Land use - open pit, mine, quarry",Anzahl der Oberzentren und möglichen Oberzentren,"Proportion of settlement area with type of use - opencast mining, pit, quarry (in% of the total area)"
KR_ROR,KR_NUTZ6,Land use - mixed use,Raumordnungsregion,Proportion of settlement area with type of use - mixed use (in% of the total area)
KR_RBP,KR_NUTZ7,Land use - special functional character,Summe der mit der Fläche gewichteten Gemeindebevölkerung im Umkreis von 100 km Luftliniendistanz,Share of settlement area with type of use - special functional
KR_WA_SCHR_KL,,,Wachsende/schrumpfende Kreise,"character (in% of
the total area)"
KR_AMT_KL,KR_NUTZ8,"Land use - sport, leisure and recreation",IAB-Arbeitsmarkttyp der Arbeitsagentur,"Share of settlement area with type of use - sport, leisure and recreation (in% of the total area)"
KR_GRW_FG_KL,KR_NUTZ9,Land use - cemetery,"GRW-Fördergebiete, Förderperiode 2014-2020",Share of settlement area with type of use - cemetery (in% of the total area)
KR_SR_AM_KL,KR_NUTZ10,Land use - road trafﬁc,Siedlungsstrukturtyp der Arbeitsmarktregion,Share of settlement area with type of use - road trafﬁc (in% of the total area)
KR_RL_KL,KR_NUTZ11,Land use - space,Raumtyp nach Lage,Share of settlement area with type of use - space (in% of the total area)
KR_SSK_KL,KR_NUTZ12,Land use - rail transport,Siedlungsstruktureller Kreistyp,Share of settlement area with type of use - rail transport (in% of the total area)
KR_SSR_KL,KR_NUTZ13,Land use - air trafﬁc,Siedlungsstruktureller Regionstyp,Share of settlement area with type of use - air trafﬁc (in% of the total area)
KR_STLA_KL,KR_NUTZ14,Land use - shipping,Städtischer Raum/Ländlicher Raum,Share of settlement area with type of use - shipping (in% of the total area)
KR_MRA_KL,KR_NUTZ15,Land use - agriculture,"Europäische Metropolregion gemäß IKM Stichtag 1.11.2015, Teil A",Share of settlement area with type of use - agriculture (in% of the total area)
KR_MRB_KL,KR_NUTZ16,Land use - forest,"Europäische Metropolregion gemäß IKM Stichtag 1.11.2015, Teil B",Share of settlement area with type of use - forest (in% of the total area)
KR_WO_KL,KR_NUTZ17,Land use - wood,West-/Ostdeutschland,Proportion of settlement area with type of use - wood (in% of the total area)
KR_GRENZE,KR_NUTZ18,Land use - Heath,Region an der ausländischen Grenze,Share of settlement area with type of use - heather (in% of the total area)
KR_ARM_ALT,KR_NUTZ19,Land use - moor,Anteil der Bevölkerung mit Grundsicherung im Alter an den Einwohnern 65 Jahre und älter (in %),Proportion of settlement area with type of use - peatland (in% of the total area)
KR_SGB_QU,KR_NUTZ20,Land use - swamp,Empfänger von Leistungen nach SGB II und Empfänger von Leistungen nach SGB XII  je 1.000 Einwohner,Share of settlement area with type of use - swamp (in% of the total area)
KR_ARM_KIND,KR_NUTZ21,"Land use - land, areas without vegetation",Nicht erwerbsfähige Leistungsberechtigte unter 15 Jahren je 100 Einwohner unter 15 Jahren,"Share of settlement area with type of use - unland, area without vegetation (in% of the total area)"
KR_BTW_BER,KR_NUTZ23,Land use - rivers,Anzahl Wahlberechtigte bei der Bundestagswahl 2017,Proportion of settlement area with type of use - ﬂowing water (in% of the total area)
KR_BTW_ANT,KR_NUTZ24,Land use - harbor basin,Anteil Wähler an Wahlberechtigten bei der Bundestagswahl 2017,Proportion of settlement area with type of use - harbor basin (in% of the total area)
KR_BTW_STIM,KR_NUTZ25,Land use - standing water,Anzahl gültige Zweitstimmen bei der Bundestagswahl 2017,Proportion of settlement area with type of use - standing water (in% of the total area)
KR_BTW_CDU,KR_NUTZ26,Land use - sea,Stimmenanteile CDU/CSU bei der Bundestagswahl 2017,Share of settlement area with type of
